year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Connecticut College,"Sayre, Joe",Prelim,21.64,21.64
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Hamilton,"Saunders, Andrew",Final,21.27,21.27
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Middlebury,"Hawkins, David",Final,21.6,21.60
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Trinity,"Hammond, Jesse C",Prelim,21.95,21.95
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Tufts,"Edson, Ed",Prelim,21.81,21.81
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Wesleyan,"Heynen, Dominik",Prelim,23.17,23.17
2002,50_Freestyle,Freestyle,Men,50,2002_Nescac_Msd_Results,Williams,"Krissoff, Nate",Final,21.86,21.86
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Amherst,"Estacio, Rick",Final,51.39,51.39
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Bates,"Legault, Craig",Prelim,55.72,55.72
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Bowdoin,"Anson, Robie",Prelim,57.57,57.57
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Colby,"Goodman, Al",Prelim,56.03,56.03
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Connecticut College,"Hoyt, Alex",Final,56.44,56.44
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Hamilton,"Lawrence, Aran",Final,53.5,53.50
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Middlebury,"Korsmeyer, Jason",Final,53.12,53.12
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Trinity,"DeRosa, Matt J",Prelim,55.94,55.94
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Tufts,"Godsey, John",Final,52.38,52.38
2003,100_Backstroke,Backstroke,Men,100,2003_Nescac_Msd_Results,Williams,"Albohm, Blake",Final,52.7,52.70
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Amherst,"Pohorylo, Mike",Final,57.22,57.22
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Bates,"Johannessen, Grant",Prelim,64.16,1:04.16
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Colby,"Cole, John",Final,62.01,1:02.01
2003,100_Breaststroke,Breaststroke,Men,100,2003_Nescac_Msd_Results,Connecticut College,"Garner, Josh",Final,60.6,1:00.60
